# index, node_type, node_subtype, name, _pos
0,PHARYNX,,I1L,"array([ 1.45794504, -4.11587019])"
1,PHARYNX,,I1R,"array([ 1.43315422, -4.11873968])"
2,PHARYNX,,I2L,"array([ 1.47312695, -4.07160616])"
3,PHARYNX,,I2R,"array([ 1.4371444 , -4.09144278])"
4,PHARYNX,,I3,"array([ 1.45799738, -4.09058699])"
5,PHARYNX,,I4,"array([ 1.41293544, -4.04376878])"
6,PHARYNX,,I5,"array([ 1.43792073, -4.03494098])"
7,PHARYNX,,I6,"array([ 1.45715816, -4.04600608])"
8,PHARYNX,,M1,"array([ 1.50450553, -4.09337626])"
9,PHARYNX,,M2L,"array([ 1.39531598, -4.05344756])"
10,PHARYNX,,M2R,"array([ 1.36271242, -4.06048552])"
11,PHARYNX,,M3L,"array([ 1.40925854, -4.07650297])"
12,PHARYNX,,M3R,"array([ 1.38575865, -4.07429186])"
13,PHARYNX,,M4,"array([ 1.42278214, -4.02382035])"
14,PHARYNX,,M5,"array([ 1.41523429, -3.95030335])"
15,PHARYNX,,MCL,"array([ 1.48027522, -4.14657909])"
16,PHARYNX,,MCR,"array([ 1.50273143, -4.19029132])"
17,PHARYNX,,MI,"array([ 1.41947367, -4.09892511])"
18,PHARYNX,,NSML,"array([ 1.441382  , -4.06441605])"
19,PHARYNX,,NSMR,"array([ 1.4218319 , -4.05998309])"
20,PHARYNX,,pm1,"array([ 1.38142283, -4.16249063])"
21,PHARYNX,,pm2D,"array([ 1.57739774, -4.01247185])"
22,PHARYNX,,pm2VL,"array([ 1.54157918, -3.9775906 ])"
23,PHARYNX,,pm3D,"array([ 1.31813129, -4.16184172])"
24,PHARYNX,,pm3VL,"array([ 1.57782959, -4.17569592])"
25,PHARYNX,,pm3VR,"array([ 1.56794929, -4.21876712])"
26,PHARYNX,,pm4D,"array([ 1.39114339, -4.10397066])"
27,PHARYNX,,pm4VL,"array([ 1.40010972, -4.12825507])"
28,PHARYNX,,pm4VR,"array([ 1.34496333, -4.09272191])"
29,PHARYNX,,pm5D,"array([ 1.47841311, -4.04579133])"
30,PHARYNX,,pm5VL,"array([ 1.43879896, -4.00113636])"
