Senaryo_ID,Boyut 1 (Enerji),Boyut 2 (Ödül)
0,-0.14332557,-0.16896997
1,-0.06698587,0.7693296
2,-0.05141557,0.9159665
3,0.06764365,-0.93859124
4,-0.05324755,0.8987156
5,-0.08056475,0.8069416
6,-0.11620082,0.47030652
7,-0.09695145,0.662566
8,0.06764365,-0.93859124
9,0.066189185,-0.94572514
10,0.06764365,-0.93859124
11,0.053247314,-0.89871496
12,-0.11620082,0.47030652
13,0.066155456,-0.9456317
14,-0.18031162,-0.13349856
15,0.053247314,-0.89871496
16,-0.086892985,0.74633163
17,-0.053247318,0.89871496
18,-0.06764365,0.93859124
19,0.11620082,-0.47030652
20,0.09695145,-0.662566
21,0.080612645,-0.80707425
22,0.18301435,0.12601231
23,0.0769959,-0.7189178
24,-0.08055255,0.80690783
25,0.047063425,-0.9211141
26,0.06764365,-0.93859124
27,-0.11620082,0.47030652
28,0.06764365,-0.93859124
29,-0.06764365,0.93859124
30,0.008507423,0.73087835
31,-0.1821111,-0.12851422
32,0.06764365,-0.93859124
33,0.06764365,-0.93859124
34,0.09051517,-0.74515843
35,-0.05324751,0.8987155
36,-0.06764365,0.93859124
37,-0.07699597,0.71891797
38,0.06764365,-0.93859124
39,-0.06617206,0.9456777
40,0.11620082,-0.47030652
41,-0.02661055,0.5793559
42,0.06608613,-0.7668374
43,0.08540198,-0.49150056
44,-0.053247485,0.89871544
45,-0.1721172,-0.08922036
46,-0.079212956,0.6723366
47,0.06764365,-0.93859124
48,-0.0932628,0.7192811
49,-0.15556705,0.110515654
50,-0.11620082,0.47030652
51,0.06764365,-0.93859124
52,-0.05324735,0.8987151
53,-0.05324778,0.8987163
54,-0.15556705,0.110515654
55,-0.08689301,0.7463317
56,0.1748164,0.08174382
57,-0.061716933,0.7831019
58,-0.11620082,0.47030652
59,0.1748164,0.08174382
60,0.11620082,-0.47030652
61,0.15556705,-0.110515654
62,0.08064683,-0.80716896
63,0.06698587,-0.7693296
64,0.12439877,-0.4260381
65,0.064999744,-0.9525684
66,-0.06953991,0.8768678
67,0.06764365,-0.93859124
68,-0.06764365,0.93859124
69,0.06696787,-0.93671936
70,0.0669821,-0.9367588
71,-0.15556705,0.110515654
72,-0.06764365,0.93859124
